institution_id,institution_name,country_name,latitude,longitude,research_level
188891513,Sanford Burnham Prebys Medical Discovery Institute (US),United States,32.84727,-117.2742,
189158971,United States Naval Academy (US),United States,38.97859,-76.49184,D/PU
189196454,The University of Texas at Arlington (US),United States,32.73569,-97.10807,R1
189273616,Rosalind Franklin University of Medicine and Science (US),United States,42.32558,-87.84118,D/PU
189590672,Kansas State University (US),United States,39.18361,-96.57167,R1
189957204,University of South Dakota (US),United States,42.77944,-96.92921,R2
191429286,Sam Houston State University (US),United States,30.72353,-95.55078,R2
192389796,Humboldt State University (US),United States,40.86652,-124.08284,D/PU
192396691,University of New Orleans (US),United States,29.95465,-90.07507,R2
192454743,Sandia National Laboratories California (US),United States,37.68187,-121.76801,
192545095,United States Military Academy (US),United States,41.39148,-73.95597,D/PU
193531525,George Washington University (US),United States,38.89511,-77.03637,R1
196272386,Providence College (US),United States,41.82399,-71.41283,D/PU
196729704,Southern Illinois University School of Medicine (US),United States,39.80172,-89.64371,
196817621,Carnegie Institution for Science (US),United States,38.89511,-77.03637,
197604219,"National Academies of Sciences, Engineering, and Medicine (US)",United States,38.89511,-77.03637,
198089087,Ball State University (US),United States,40.19338,-85.38636,R2
198423848,National Institute for Occupational Safety and Health (US),United States,38.89511,-77.03637,
198811213,National Nuclear Security Administration (US),United States,38.89511,-77.03637,
200719446,Vanderbilt University (US),United States,36.16589,-86.78444,R1
